                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3778,                 5.5119,                 4.1431,                  2e-05,                0.00556,                  1e-05,                      0,                  5.246,                 5.7162,                 4.2323,             0.00065185,             0.00065185,             0.00065185
                      2,                 3.1515,                 3.1689,                 3.0664,                  2e-05,                0.00556,                  1e-05,                      0,                 5.3001,                 5.4134,                 4.3145,              0.0012315,              0.0012315,              0.0012315
                      3,                 2.5626,                 2.4992,                 2.6806,                0.23652,                    0.2,                 0.1426,                0.05705,                 3.0119,                 3.3534,                 3.1557,              0.0017231,              0.0017231,              0.0017231
                      4,                 2.2562,                 1.9965,                 2.3634,                0.81761,                0.61667,                0.72716,                0.34234,                 1.9179,                 2.0158,                 2.4418,               0.001604,               0.001604,               0.001604
                      5,                 2.0005,                 1.5936,                 2.1241,                0.69404,                0.63013,                0.72453,                0.33773,                 1.9252,                 3.5055,                 2.4657,               0.001472,               0.001472,               0.001472
                      6,                 1.8277,                 1.6255,                 2.1372,                0.90572,                0.74722,                0.89694,                0.45607,                 1.6918,                 1.4055,                 2.1166,                0.00134,                0.00134,                0.00134
                      7,                 1.7311,                 1.4297,                  2.008,                0.71594,                0.46208,                0.64653,                0.31067,                 1.7505,                  2.391,                 2.1229,               0.001208,               0.001208,               0.001208
                      8,                 1.6292,                 1.2712,                 1.9116,                 0.9299,                0.81071,                0.92972,                0.52564,                 1.5659,                 1.3274,                 1.9716,               0.001076,               0.001076,               0.001076
                      9,                   1.58,                 1.1674,                 1.8383,                0.95494,                0.84444,                0.93462,                0.52312,                 1.5174,                   1.12,                 1.8797,               0.000944,               0.000944,               0.000944
                     10,                 1.5295,                 1.0894,                 1.8109,                0.94529,                 0.8639,                0.96221,                0.56528,                 1.4246,                 1.0221,                 1.8359,               0.000812,               0.000812,               0.000812
                     11,                 1.4921,                 1.0508,                 1.7469,                0.93931,                0.85982,                0.96134,                0.56142,                 1.4487,                 1.0228,                 1.7926,                0.00068,                0.00068,                0.00068
                     12,                 1.4446,                0.98568,                 1.7344,                0.94057,                0.87924,                 0.9613,                0.58233,                 1.3987,                0.98763,                 1.7468,               0.000548,               0.000548,               0.000548
                     13,                 1.4242,                0.94584,                 1.6903,                0.98094,                 0.8577,                0.97281,                0.62946,                 1.2634,                0.89104,                 1.6641,               0.000416,               0.000416,               0.000416
                     14,                  1.348,                0.89131,                 1.6354,                0.94267,                0.91353,                0.97919,                0.63985,                 1.2514,                0.84512,                 1.6353,               0.000284,               0.000284,               0.000284
                     15,                 1.3451,                0.88824,                  1.614,                0.95866,                0.90178,                0.97118,                0.64962,                 1.1846,                0.83361,                 1.6058,               0.000152,               0.000152,               0.000152
